;;;num groupe;num troncon;heure Dep;depart GPS; ;heure Arr;arrivée GPS;Colonne3;;;;;;
heure d'arrivée voulue;;10;;1;15:00:00;Cathédrale Saint-André de Bordeaux;;16:10:00;44.881641, -0.525798;;;;;;;
;;;;2;16:10:00;44.881641, -0.525798;;17:20:00;44.936713, -0.493492;;;;;;;
;;;;3;17:20:00;44.936713, -0.493492;;18:30:00;44.992449, -0.447884;;;;;;;
;;;;4;18:30:00;44.992449, -0.447884;;19:40:00;45.037202, -0.507638;;;;;;;
;;;;5;19:40:00;45.037202, -0.507638;;20:50:00;45.056104, -0.606149;;;;;;;
;;;;6;20:50:00;45.056104, -0.606149;;22:00:00;45.109120, -0.644201;;;;;;;
;;;;7;22:00:00;45.109120, -0.644201;;23:10:00;45.161895, -0.615598;;;;;;;
;;;;8;23:10:00;45.161895, -0.615598;;00:20:00;45.219846, -0.579631;;;;;;;
;;;;9;00:20:00;45.219846, -0.579631;;01:30:00;45.289622, -0.561813;;;;;;;
;;;;10;01:30:00;45.289622, -0.561813;;02:40:00;45.343529, -0.563005;;;;;;;
;;;;11;02:40:00;45.343529, -0.563005;;03:50:00;45.417184, -0.556143;;;;;;;
;;;;12;03:50:00;45.417184, -0.556143;;05:00:00;45.478278, -0.572905;;;;;;;
;;;;13;05:00:00;45.478278, -0.572905;;06:10:00;45.538509, -0.573834;;;;;;;
;;;;14;06:10:00;45.538509, -0.573834;;07:20:00;45.608455, -0.567457;;petit probleme;mauvais GR au passage de la ville;;;;
;;;;15;07:20:00;45.608455, -0.567457;;08:30:00;45.675027, -0.617830;;debut trace incorrect;;;;;
;;;;16;08:30:00;45.675027, -0.617830;;09:40:00;45.744704, -0.629247;;;;;;;
;;;;17;09:40:00;45.744704, -0.629247;;10:50:00;45.805324, -0.580146;;;;;;;
;;;;18;10:50:00;45.805324, -0.580146;;12:00:00;45.874133, -0.587993;;;;;;;
;;;;19;12:00:00;45.874133, -0.587993;;13:10:00;45.934654, -0.530361;;;;;;;
;;;;20;13:10:00;45.934654, -0.530361;;14:20:00;45.975216, -0.454070;;;;;;;
;;;;21;14:20:00;45.975216, -0.454070;;15:30:00;46.012055, -0.353135;;;;;;;
;;;;22;15:30:00;46.012055, -0.353135;;16:40:00;46.083891, -0.283925;;;;;;;
